Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11551,198,400,883.458336161377,4.425100000389648,17943.520499999977,1884.1399878798372,2.1388315200974115,0.03666250895847004,400,790,1200,1400,2300,3100,4500,6100,13000,18000,18000
GET,/api/hint,11516,185,400,863.4659668200745,3.458499999396736,16709.73529999992,9.839353942341091,2.1323507735643483,0.034255374531903825,400,760,1100,1400,2200,3100,4400,6000,13000,16000,17000
GET,/api/leaderboard,17628,294,2100,3158.4226453369515,9.091300000363844,43504.96579999981,499834.1351826639,3.2640742824237874,0.05443827087772825,2100,3000,3800,4400,6700,10000,15000,18000,29000,39000,44000
PATCH,/api/move,57484,984,400,860.8472869615957,3.2879000000320957,21284.768100000292,86.5476828334841,10.643978105902484,0.18220155967239657,400,760,1100,1400,2200,3000,4400,6100,13000,17000,21000
DELETE,/api/new,11446,217,400,857.854603145197,3.748799999812036,18138.212400000157,72.92005940940066,2.119389280498223,0.04018062850498989,400,760,1100,1400,2200,3000,4400,6000,13000,18000,18000
GET,/api/startgame,100,0,45,119.3979310000077,17.762299999958486,928.469700000278,74.32,0.01851641866589396,0.0,46,59,140,180,250,420,930,930,930,930,930
POST,/api/submit,5625,93,900,1365.425045937785,19.9441000004299,19398.07440000004,1.9669333333333334,1.0415485499565353,0.017220269359281382,900,1400,1800,2100,3000,3900,5600,7300,13000,19000,19000
PUT,/api/undo,17391,324,410,874.2931822149405,2.309900000000198,18702.051899999788,87.33045828301995,3.2201903701856187,0.05999319647749643,410,770,1100,1400,2200,3100,4600,6500,12000,18000,19000
GET,/game,5757,109,410,878.0516105957914,4.040199999963079,16281.57470000042,1371.5310057321522,1.0659902225955153,0.020182896345824416,410,790,1200,1400,2200,3000,4400,5700,13000,16000,16000
GET,/leaderboard,11611,213,390,856.7263118508336,3.7855999999010237,15334.609200000159,1068.0409956076135,2.149941371296948,0.039439971758354134,390,750,1100,1300,2200,3100,4500,6000,13000,15000,15000
,Aggregated,150109,2617,520,1152.687751405303,2.309900000000198,43504.96579999981,59027.75372562605,27.794810895186764,0.484574676486445,520,990,1400,1800,2800,4000,6500,9300,19000,30000,44000
