Method,Name,Error,Occurrences
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985ef010>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6ba7d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d34210>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d15150>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f897298490>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6b9690>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b681090>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b75ac50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cc1750>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9a5690>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8bd090>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8d7290>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8cd650>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,RemoteDisconnected('Remote end closed connection without response'),194
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae87d450>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",2
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4ca1dd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6a8410>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8a9e50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cc86d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3812690>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae99e8d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8972cb3d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae79e3d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3802e90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a68106d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b759190>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8fc050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3804790>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
