Time,Name,CPU,Memory,NetIO,BlockIO
03:15:50,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.57kB / 1.97kB,0B / 0B
03:15:52,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:15:54,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:15:57,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:15:59,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:16:01,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:16:03,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:16:06,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:16:08,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:16:10,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.4kB / 2.02kB,0B / 0B
03:16:12,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.4kB / 2.09kB,0B / 0B
03:16:14,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.4kB / 2.09kB,0B / 0B
03:16:17,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:19,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:21,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:23,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:26,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:28,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:30,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:32,project6supersorter3400-web-1,0.03%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:35,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:37,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:39,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:41,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,10.5kB / 2.13kB,0B / 0B
03:16:43,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.5kB / 2.19kB,0B / 0B
03:16:46,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.5kB / 2.19kB,0B / 0B
03:16:48,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:16:50,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:16:52,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:16:55,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:16:57,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:16:59,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:17:01,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:17:03,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:17:06,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:17:08,project6supersorter3400-web-1,0.04%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:17:10,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:17:12,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.6kB / 2.28kB,0B / 0B
03:17:15,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,10.7kB / 2.35kB,0B / 0B
03:17:17,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.7kB / 2.35kB,0B / 0B
03:17:19,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,10.8kB / 2.43kB,0B / 0B
