Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7933,497,160,1825.3915496155341,3.8853000005474314,45985.26440000023,1796.9005420395815,1.621979098029159,0.1016164895651698,160,720,1900,2900,5900,9300,14000,17000,33000,46000,46000
GET,/api/hint,7945,452,150,1863.938898338592,3.3900999997058534,48999.72820000039,9.431088735053493,1.6244326148798272,0.09241580137516449,150,720,1900,3000,5900,9500,15000,18000,31000,49000,49000
GET,/api/leaderboard,11835,720,810,4470.101796890581,24.424100000032922,124953.65010000023,136089.28052386988,2.4197809939713975,0.14721101104008502,810,3600,6000,7700,13000,19000,28000,36000,55000,99000,125000
PATCH,/api/move,39823,2403,150,1806.586972422967,3.3290999999735504,48543.787199999315,82.74519749893278,8.142200128679592,0.4913167493462838,150,710,1900,2800,5900,9200,14000,17000,30000,37000,49000
DELETE,/api/new,7992,445,140,1766.9231824949961,3.7183999993430916,48261.78770000024,70.21684184184184,1.6340422225449438,0.09098458321227477,140,660,1800,2800,5700,9000,14000,18000,30000,48000,48000
GET,/api/startgame,100,0,44,63.88321900003575,6.739200000083656,326.25090000055934,74.36,0.020445973755567365,0.0,45,68,80,87,160,190,270,330,330,330,330
POST,/api/submit,4004,215,460,2601.0275459790146,22.174200000335986,49275.414900000214,1.8926073926073925,0.8186567891729173,0.04395884357446983,460,1700,3400,4500,8100,11000,17000,20000,32000,49000,49000
PUT,/api/undo,11870,730,150,1837.2939213395116,2.9610999999931664,44844.26739999981,83.52645324347094,2.426937084785846,0.14925560841564176,150,760,1900,2900,5900,9400,14000,18000,29000,36000,45000
GET,/game,3956,258,160,1789.9302318756345,3.9138000001912587,35898.80710000034,1306.8260869565217,0.808842721770245,0.0527506122893638,160,750,2000,2900,5900,9100,14000,17000,32000,36000,36000
GET,/leaderboard,7984,498,150,1792.3061841683325,3.9700999996057362,47183.1831999998,1020.1362725450902,1.6324065446444984,0.10182094930272548,150,700,1900,2800,5900,9100,14000,17000,32000,47000,47000
,Aggregated,103442,6218,230,2144.9581561445316,2.9610999999931664,124953.65010000023,15884.493310260823,21.14972417223399,1.2713306481211786,230,910,2300,3400,6800,11000,16000,20000,37000,55000,125000
