Time,Name,CPU,Memory,NetIO,BlockIO
19:09:10,project6supersorter3400-web-1,0.08%,3.188MiB / 15.59GiB,8.3kB / 1.89kB,0B / 0B
19:09:12,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.3kB / 1.89kB,0B / 0B
19:09:14,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.3kB / 1.89kB,0B / 0B
19:09:17,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.3kB / 1.89kB,0B / 0B
19:09:19,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,8.3kB / 1.89kB,0B / 0B
19:09:21,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.3kB / 1.89kB,0B / 0B
19:09:23,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.3kB / 1.89kB,0B / 0B
19:09:25,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.37kB / 1.96kB,0B / 0B
19:09:28,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.37kB / 1.96kB,0B / 0B
19:09:30,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.37kB / 1.96kB,0B / 0B
19:09:32,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:34,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:37,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:39,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:41,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:43,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:46,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:48,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:50,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:52,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:55,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.41kB / 2kB,0B / 0B
19:09:57,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.48kB / 2.06kB,0B / 0B
19:09:59,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.48kB / 2.06kB,0B / 0B
19:10:01,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:04,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:06,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:08,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:10,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:13,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:15,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:17,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:19,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:21,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:24,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:26,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.56kB / 2.15kB,0B / 0B
19:10:28,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.63kB / 2.21kB,0B / 0B
19:10:30,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.63kB / 2.21kB,0B / 0B
19:10:33,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:35,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:37,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:39,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:42,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:44,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:46,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:48,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:51,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:53,project6supersorter3400-web-1,0.08%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:55,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:10:57,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.67kB / 2.25kB,0B / 0B
19:11:00,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.74kB / 2.32kB,0B / 0B
19:11:02,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.74kB / 2.32kB,0B / 0B
19:11:04,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:06,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:09,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:11,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:13,project6supersorter3400-web-1,0.07%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:15,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:17,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:20,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:22,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:24,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:26,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.82kB / 2.4kB,0B / 0B
19:11:29,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.89kB / 2.47kB,0B / 0B
19:11:31,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.89kB / 2.47kB,0B / 0B
19:11:33,project6supersorter3400-web-1,0.08%,3.188MiB / 15.59GiB,8.89kB / 2.47kB,0B / 0B
19:11:35,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:38,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:40,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:42,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:44,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:47,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:49,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:51,project6supersorter3400-web-1,0.04%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:53,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:55,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:11:58,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.93kB / 2.51kB,0B / 0B
19:12:00,project6supersorter3400-web-1,0.07%,3.188MiB / 15.59GiB,8.99kB / 2.58kB,0B / 0B
19:12:02,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,8.99kB / 2.58kB,0B / 0B
19:12:04,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:07,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:09,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:11,project6supersorter3400-web-1,0.07%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:13,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:16,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:18,project6supersorter3400-web-1,0.04%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:20,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:22,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:25,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:27,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:29,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.08kB / 2.66kB,0B / 0B
19:12:31,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.14kB / 2.73kB,0B / 0B
19:12:34,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.14kB / 2.73kB,0B / 0B
19:12:36,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:38,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:40,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:43,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:45,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:47,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:49,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:51,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:54,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:56,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:12:58,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:13:00,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.19kB / 2.77kB,0B / 0B
19:13:03,project6supersorter3400-web-1,0.04%,3.188MiB / 15.59GiB,9.25kB / 2.84kB,0B / 0B
19:13:05,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,9.25kB / 2.84kB,0B / 0B
19:13:07,project6supersorter3400-web-1,0.04%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:09,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:12,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:14,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:16,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:18,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:21,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:23,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:25,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:27,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:30,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.34kB / 2.92kB,0B / 0B
19:13:32,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,9.4kB / 2.99kB,0B / 0B
19:13:34,project6supersorter3400-web-1,0.03%,3.188MiB / 15.59GiB,9.4kB / 2.99kB,0B / 0B
19:13:36,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.4kB / 2.99kB,0B / 0B
19:13:38,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:41,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:43,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:45,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:47,project6supersorter3400-web-1,0.02%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:50,project6supersorter3400-web-1,0.01%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:52,project6supersorter3400-web-1,0.06%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:54,project6supersorter3400-web-1,0.05%,3.188MiB / 15.59GiB,9.49kB / 3.07kB,0B / 0B
19:13:56,project6supersorter3400-web-1,0.02%,3.25MiB / 15.59GiB,10.2kB / 3.72kB,94.2kB / 0B
19:13:59,project6supersorter3400-web-1,0.02%,3.25MiB / 15.59GiB,10.6kB / 4kB,94.2kB / 0B
19:14:01,project6supersorter3400-web-1,0.05%,3.234MiB / 15.59GiB,11kB / 4.33kB,94.2kB / 0B
19:14:03,project6supersorter3400-web-1,0.15%,3.508MiB / 15.59GiB,11.8kB / 5.98kB,233kB / 0B
19:14:05,project6supersorter3400-web-1,0.03%,3.258MiB / 15.59GiB,11.8kB / 5.98kB,233kB / 0B
19:14:08,project6supersorter3400-web-1,0.02%,3.297MiB / 15.59GiB,12.9kB / 7.95kB,233kB / 0B
19:14:10,project6supersorter3400-web-1,0.09%,3.805MiB / 15.59GiB,14.2kB / 8.96kB,233kB / 0B
19:14:12,project6supersorter3400-web-1,0.17%,3.582MiB / 15.59GiB,15.2kB / 10.1kB,606kB / 0B
19:14:14,project6supersorter3400-web-1,0.14%,3.586MiB / 15.59GiB,15.9kB / 12.5kB,610kB / 0B
19:14:17,project6supersorter3400-web-1,0.05%,3.57MiB / 15.59GiB,16.7kB / 13.1kB,610kB / 0B
19:14:19,project6supersorter3400-web-1,0.38%,4.074MiB / 15.59GiB,18.2kB / 14.4kB,610kB / 0B
19:14:21,project6supersorter3400-web-1,0.29%,3.895MiB / 15.59GiB,20.2kB / 17.9kB,610kB / 0B
19:14:23,project6supersorter3400-web-1,0.24%,4.156MiB / 15.59GiB,21.7kB / 19.1kB,610kB / 0B
19:14:25,project6supersorter3400-web-1,0.16%,3.918MiB / 15.59GiB,22.5kB / 21.5kB,610kB / 0B
19:14:28,project6supersorter3400-web-1,0.17%,3.68MiB / 15.59GiB,23.8kB / 24kB,610kB / 0B
19:14:30,project6supersorter3400-web-1,0.10%,4.176MiB / 15.59GiB,24.9kB / 25.3kB,610kB / 0B
19:14:32,project6supersorter3400-web-1,0.08%,3.715MiB / 15.59GiB,27.2kB / 27.4kB,610kB / 0B
19:14:34,project6supersorter3400-web-1,0.13%,3.984MiB / 15.59GiB,29.2kB / 31.9kB,614kB / 0B
19:14:37,project6supersorter3400-web-1,0.12%,3.816MiB / 15.59GiB,31.2kB / 34.6kB,614kB / 0B
19:14:39,project6supersorter3400-web-1,0.17%,4.074MiB / 15.59GiB,33kB / 38.3kB,614kB / 0B
19:14:41,project6supersorter3400-web-1,4.62%,5.328MiB / 15.59GiB,34.3kB / 40.5kB,614kB / 0B
19:14:43,project6supersorter3400-web-1,0.34%,5.773MiB / 15.59GiB,36.8kB / 44.4kB,614kB / 0B
